pair,fmt,I,rmse_mean
32bits,posit32,1.0526315789473684,3.764503802017316e-10
32bits,float32,1.1473684210526316,1.0038677089596604e-10
32bits,posit32,1.1473684210526316,1.0038677089596604e-10
32bits,float32,1.2421052631578948,1.7567684551522688e-10
32bits,posit32,1.2421052631578948,1.7567684551522688e-10
32bits,float32,1.3368421052631578,4.517404690318472e-10
32bits,posit32,1.3368421052631578,4.517404690318472e-10
32bits,float32,1.431578947368421,4.642888171701997e-10
32bits,posit32,1.431578947368421,4.642888171701997e-10
32bits,float32,1.5263157894736843,1.8822518654815212e-10
32bits,posit32,1.5263157894736843,1.8822518654815212e-10
32bits,float32,1.6210526315789473,8.783842275761344e-11
32bits,posit32,1.6210526315789473,8.783842275761344e-11
32bits,float32,1.7157894736842105,3.6390203916880637e-10
32bits,posit32,1.7157894736842105,3.6390203916880637e-10
32bits,float32,1.8105263157894738,5.521272399278132e-10
32bits,posit32,1.8105263157894738,5.521272399278132e-10
32bits,float32,1.9052631578947368,2.760636164111929e-10
32bits,posit32,1.9052631578947368,2.760636164111929e-10
32bits,float32,2.0,0.0
32bits,posit32,2.0,0.0
