step,time_ms,v_float64,v_float32,diff_float32,v_float16,diff_float16,v_posit16,diff_posit16
47,4.7,-62.34580281884579,-62.345794677734375,8.141111415227442e-06,-62.46875,0.12294718115420977,-62.46875,0.12294718115420977
48,4.800000000000001,-62.22234479065733,-62.22233581542969,8.975227643759354e-06,-62.34375,0.12140520934266874,-62.34375,0.12140520934266874
49,4.9,-62.10012134275076,-62.10011291503906,8.427711698288931e-06,-62.21875,0.11862865724923921,-62.21875,0.11862865724923921
50,5.0,-61.979120129323256,-61.97911071777344,9.411549818594267e-06,-62.09375,0.1146298706767439,-62.09375,0.1146298706767439
51,5.1000000000000005,-61.859328928030024,-61.859317779541016,1.1148489008405704e-05,-61.96875,0.10942107196997597,-61.96875,0.10942107196997597
52,5.2,-61.740735638749726,-61.740726470947266,9.167802460297025e-06,-61.84375,0.10301436125027408,-61.84375,0.10301436125027408
53,5.300000000000001,-61.62332828236223,-61.62331771850586,1.0563856370993108e-05,-61.71875,0.09542171763776963,-61.71875,0.09542171763776963
54,5.4,-61.50709499953861,-61.507083892822266,1.1106716343078915e-05,-61.59375,0.0866550004613913,-61.59375,0.0866550004613913
55,5.5,-61.392024049543224,-61.39201354980469,1.0499738536395853e-05,-61.46875,0.0767259504567761,-61.46875,0.0767259504567761
56,5.6000000000000005,-61.27810380904779,-61.27809524536133,8.56368646395822e-06,-61.34375,0.06564619095220792,-61.34375,0.06564619095220792
57,5.7,-61.16532277095732,-61.165313720703125,9.050254192288776e-06,-61.21875,0.05342722904268271,-61.21875,0.05342722904268271
58,5.800000000000001,-61.05366954324774,-61.05366134643555,8.19681219610402e-06,-61.09375,0.04008045675225702,-61.09375,0.04008045675225702
59,5.9,-60.943132847815264,-60.94312286376953,9.984045732380764e-06,-60.96875,0.02561715218473637,-60.96875,0.02561715218473637
60,6.0,-60.83370151933711,-60.83369064331055,1.087602656468789e-05,-60.84375,0.010048480662888437,-60.84375,0.010048480662888437
61,6.1000000000000005,-60.72536450414374,-60.7253532409668,1.1263176943998587e-05,-60.75,0.024635495856259126,-60.75,0.024635495856259126
62,6.2,-60.6181108591023,-60.618099212646484,1.1646455817526657e-05,-60.65625,0.0381391408976981,-60.65625,0.0381391408976981
63,6.300000000000001,-60.51192975051128,-60.51191711425781,1.2636253465814207e-05,-60.5625,0.050570249488721686,-60.5625,0.050570249488721686
64,6.4,-60.406810453006166,-60.40679931640625,1.1136599916028445e-05,-60.46875,0.06193954699383397,-60.46875,0.06193954699383397
65,6.5,-60.3027423484761,-60.302730560302734,1.1788173367222043e-05,-60.375,0.0722576515238984,-60.375,0.0722576515238984
66,6.6000000000000005,-60.19971492499134,-60.199703216552734,1.1708438606206073e-05,-60.28125,0.08153507500865942,-60.28125,0.08153507500865942
67,6.7,-60.09771777574143,-60.09770584106445,1.1934676976466108e-05,-60.1875,0.08978222425857041,-60.1875,0.08978222425857041
68,6.800000000000001,-59.996740597984015,-59.996726989746094,1.3608237921403088e-05,-60.09375,0.09700940201598485,-60.09375,0.09700940201598485
69,6.9,-59.896773192004176,-59.896759033203125,1.41588010507121e-05,-60.0,0.10322680799582429,-60.0,0.10322680799582429
70,7.0,-59.797805460084135,-59.79779052734375,1.4932740384665522e-05,-59.90625,0.10844453991586533,-59.90625,0.10844453991586533
71,7.1000000000000005,-59.69982740548329,-59.69981384277344,1.3562709852976695e-05,-59.8125,0.11267259451670952,-59.8125,0.11267259451670952
72,7.2,-59.60282913142846,-59.60281753540039,1.1596028066662711e-05,-59.71875,0.11592086857154271,-59.71875,0.11592086857154271
73,7.300000000000001,-59.506800840114174,-59.50679016113281,1.0678981361422757e-05,-59.625,0.11819915988582608,-59.625,0.11819915988582608
74,7.4,-59.41173283171303,-59.41172409057617,8.741136859669041e-06,-59.53125,0.11951716828696846,-59.53125,0.11951716828696846
75,7.5,-59.3176155033959,-59.31760787963867,7.6237572272930265e-06,-59.4375,0.11988449660410083,-59.4375,0.11988449660410083
76,7.6000000000000005,-59.22443934836194,-59.224430084228516,9.264133424835563e-06,-59.34375,0.11931065163805954,-59.34375,0.11931065163805954
77,7.7,-59.13219495487832,-59.13218688964844,8.065229884834935e-06,-59.25,0.11780504512167767,-59.25,0.11780504512167767
78,7.800000000000001,-59.04087300532954,-59.04086685180664,6.15352289656812e-06,-59.15625,0.1153769946704628,-59.15625,0.1153769946704628
79,7.9,-58.95046427527624,-58.95045852661133,5.748664911209289e-06,-59.0625,0.11203572472376067,-59.0625,0.11203572472376067
80,8.0,-58.860959632523475,-58.86095428466797,5.347855505988264e-06,-58.96875,0.10779036747652526,-58.96875,0.10779036747652526
81,8.1,-58.77235003619824,-58.77234649658203,3.5396162090250982e-06,-58.875,0.10264996380175972,-58.875,0.10264996380175972
82,8.200000000000001,-58.68462653583626,-58.68462371826172,2.8175745399039442e-06,-58.78125,0.09662346416374135,-58.78125,0.09662346416374135
83,8.3,-58.5977802704779,-58.5977783203125,1.9501653980569245e-06,-58.6875,0.08971972952210194,-58.6875,0.08971972952210194
84,8.4,-58.511802467773116,-58.51179885864258,3.60913053754075e-06,-58.59375,0.08194753222688433,-58.59375,0.08194753222688433
85,8.5,-58.42668444309538,-58.42668151855469,2.9245406949485186e-06,-58.5,0.07331555690461755,-58.5,0.07331555690461755
86,8.6,-58.342417598664426,-58.34241485595703,2.7427073945318625e-06,-58.40625,0.06383240133557422,-58.40625,0.06383240133557422
87,8.700000000000001,-58.25899342267778,-58.25899124145508,2.181222704678021e-06,-58.3125,0.0535065773222172,-58.3125,0.0535065773222172
88,8.8,-58.17640348845101,-58.1764030456543,4.427967112974329e-07,-58.21875,0.04234651154899183,-58.21875,0.04234651154899183
89,8.9,-58.0946394535665,-58.09463882446289,6.291036100947167e-07,-58.125,0.03036054643349928,-58.125,0.03036054643349928
90,9.0,-58.013693059030835,-58.01369094848633,2.110544507161194e-06,-58.03125,0.017556940969164714,-58.03125,0.017556940969164714
91,9.1,-57.93355612844053,-57.933555603027344,5.254131849596888e-07,-57.9375,0.00394387155947129,-57.9375,0.00394387155947129
92,9.200000000000001,-57.854220567156126,-57.85422134399414,7.768380143602371e-07,-57.84375,0.010470567156126265,-57.84375,0.010470567156126265
93,9.3,-57.775678361484566,-57.77568054199219,2.180507621574179e-06,-57.75,0.025678361484565926,-57.75,0.025678361484565926
94,9.4,-57.69792157786972,-57.69792556762695,3.989757232147895e-06,-57.6875,0.010421577869720977,-57.6875,0.010421577869720977
95,9.5,-57.62094236209102,-57.62094497680664,2.6147156191314025e-06,-57.625,0.004057637908978506,-57.625,0.004057637908978506
96,9.600000000000001,-57.54473293847011,-57.544734954833984,2.0163638723147415e-06,-57.5625,0.01776706152988794,-57.5625,0.01776706152988794
97,9.700000000000001,-57.46928560908541,-57.46928787231445,2.263229042398507e-06,-57.5,0.030714390914589274,-57.5,0.030714390914589274
98,9.8,-57.394592752994555,-57.394596099853516,3.34685896064002e-06,-57.4375,0.042907247005445015,-57.4375,0.042907247005445015
99,9.9,-57.32064682546461,-57.32065200805664,5.182592033747824e-06,-57.375,0.05435317453539312,-57.375,0.05435317453539312
100,10.0,-57.24744035720996,-57.24744415283203,3.795622070867921e-06,-57.3125,0.06505964279003962,-57.3125,0.06505964279003962
101,10.100000000000001,-57.17496595363786,-57.17496871948242,2.765844563157316e-06,-57.25,0.07503404636214128,-57.25,0.07503404636214128
102,10.200000000000001,-57.10321629410148,-57.10321807861328,1.7845118023274154e-06,-57.1875,0.08428370589852108,-57.1875,0.08428370589852108
103,10.3,-57.03218413116046,-57.03218460083008,4.6966961519956385e-07,-57.125,0.09281586883953707,-57.125,0.09281586883953707
104,10.4,-56.96186228984886,-56.96186447143555,2.1815866872998413e-06,-57.0625,0.10063771015114042,-57.0625,0.10063771015114042
105,10.5,-56.89224366695037,-56.89224624633789,2.5793875195745386e-06,-57.0,0.10775633304962895,-57.0,0.10775633304962895
106,10.600000000000001,-56.82332123028087,-56.82332229614258,1.0658617100034462e-06,-56.9375,0.11417876971913188,-56.9375,0.11417876971913188
107,10.700000000000001,-56.75508801797806,-56.755088806152344,7.881742831727934e-07,-56.875,0.11991198202193942,-56.875,0.11991198202193942
108,10.8,-56.68753713779828,-56.687538146972656,1.0091743760654026e-06,-56.8125,0.12496286220171982,-56.8125,0.12496286220171982
109,10.9,-56.6206617664203,-56.620662689208984,9.227886863527601e-07,-56.75,0.12933823357970198,-56.75,0.12933823357970198
110,11.0,-56.5544551487561,-56.5544548034668,3.4528930115129697e-07,-56.6875,0.13304485124390197,-56.6875,0.13304485124390197
111,11.100000000000001,-56.488910597268536,-56.48891067504883,7.77802924289972e-08,-56.625,0.1360894027314643,-56.625,0.1360894027314643
112,11.200000000000001,-56.42402149129585,-56.42402267456055,1.183264693338515e-06,-56.5625,0.13847850870414646,-56.5625,0.13847850870414646
113,11.3,-56.3597812763829,-56.35978317260742,1.8962245249554144e-06,-56.5,0.14021872361710308,-56.5,0.14021872361710308
114,11.4,-56.296183463619066,-56.29618453979492,1.0761758559851842e-06,-56.4375,0.1413165363809341,-56.4375,0.1413165363809341
115,11.5,-56.233221628982875,-56.23322296142578,1.3324429062322452e-06,-56.375,0.14177837101712498,-56.375,0.14177837101712498
116,11.600000000000001,-56.17088941269304,-56.17089080810547,1.3954124256088107e-06,-56.3125,0.14161058730695686,-56.3125,0.14161058730695686
117,11.700000000000001,-56.10918051856611,-56.10918045043945,6.812665986899447e-08,-56.25,0.140819481433887,-56.25,0.140819481433887
118,11.8,-56.04808871338045,-56.04808807373047,6.396499827587832e-07,-56.1875,0.1394112866195485,-56.1875,0.1394112866195485
119,11.9,-55.987607826246645,-55.987606048583984,1.7776626606291757e-06,-56.125,0.137392173753355,-56.125,0.137392173753355
120,12.0,-55.927731747984176,-55.927730560302734,1.1876814411948544e-06,-56.0625,0.13476825201582443,-56.0625,0.13476825201582443
121,12.100000000000001,-55.868454430504336,-55.86845397949219,4.5101214851683835e-07,-56.0,0.13154556949566398,-56.0,0.13154556949566398
122,12.200000000000001,-55.80976988619929,-55.80976867675781,1.2094414785224217e-06,-55.9375,0.12773011380070898,-55.9375,0.12773011380070898
123,12.3,-55.7516721873373,-55.751670837402344,1.3499349549306316e-06,-55.875,0.12332781266270132,-55.875,0.12332781266270132
124,12.4,-55.69415546546393,-55.69415283203125,2.633432679033376e-06,-55.8125,0.11834453453607097,-55.8125,0.11834453453607097
125,12.5,-55.63721391080929,-55.637210845947266,3.0648620210627087e-06,-55.75,0.11278608919071331,-55.75,0.11278608919071331
126,12.600000000000001,-55.580841771701195,-55.58083724975586,4.521945335511646e-06,-55.6875,0.10665822829880511,-55.6875,0.10665822829880511
127,12.700000000000001,-55.525033353984185,-55.525028228759766,5.125224419089136e-06,-55.625,0.09996664601581529,-55.625,0.09996664601581529
128,12.8,-55.469783020444346,-55.46977615356445,6.8668798931526e-06,-55.5625,0.09271697955565372,-55.5625,0.09271697955565372
129,12.9,-55.4150851902399,-55.415077209472656,7.98076724350949e-06,-55.5,0.08491480976010024,-55.5,0.08491480976010024
130,13.0,-55.3609343383375,-55.36092758178711,6.756550391173732e-06,-55.4375,0.07656566166249945,-55.4375,0.07656566166249945
131,13.100000000000001,-55.30732499495412,-55.30731964111328,5.35384084088264e-06,-55.375,0.06767500504587787,-55.375,0.06767500504587787
132,13.200000000000001,-55.25425174500458,-55.25424575805664,5.986947940073151e-06,-55.3125,0.0582482549954193,-55.3125,0.0582482549954193
133,13.3,-55.20170922755454,-55.20170211791992,7.109634616142557e-06,-55.25,0.04829077244546198,-55.25,0.04829077244546198
134,13.4,-55.14969213527899,-55.14968490600586,7.229273130349156e-06,-55.1875,0.037807864721010276,-55.1875,0.037807864721010276
135,13.5,-55.098195213926196,-55.09818649291992,8.721006274470255e-06,-55.125,0.026804786073803655,-55.125,0.026804786073803655
136,13.600000000000001,-55.047213261786936,-55.047203063964844,1.0197822092550268e-05,-55.0625,0.0152867382130637,-55.0625,0.0152867382130637
137,13.700000000000001,-54.99674112916907,-54.99673080444336,1.0324725707278049e-05,-55.0,0.003258870830933347,-55.0,0.003258870830933347
138,13.8,-54.94677371787738,-54.94676208496094,1.1632916439907603e-05,-54.9375,0.009273717877377408,-54.9375,0.009273717877377408
139,13.9,-54.897305980698604,-54.89729309082031,1.288987829184407e-05,-54.875,0.022305980698604344,-54.875,0.022305980698604344
140,14.0,-54.84833292089162,-54.84832000732422,1.2913567402961235e-05,-54.8125,0.03583292089162171,-54.8125,0.03583292089162171
141,14.100000000000001,-54.79984959168271,-54.799835205078125,1.4386604583194185e-05,-54.75,0.049849591682708194,-54.75,0.049849591682708194
142,14.200000000000001,-54.75185109576588,-54.75183868408203,1.2411683847801669e-05,-54.6875,0.06435109576587905,-54.6875,0.06435109576587905
143,14.3,-54.70433258480822,-54.70431900024414,1.3584564079849315e-05,-54.625,0.07933258480822047,-54.625,0.07933258480822047
144,14.4,-54.65728925896014,-54.65727615356445,1.310539568777358e-05,-54.59375,0.0635392589601409,-54.59375,0.0635392589601409
145,14.5,-54.61071636637054,-54.61070251464844,1.3851722101776431e-05,-54.5625,0.048216366370539276,-54.5625,0.048216366370539276
146,14.600000000000001,-54.56460920270683,-54.56459426879883,1.4933908005332341e-05,-54.53125,0.03335920270683346,-54.53125,0.03335920270683346
147,14.700000000000001,-54.51896311067976,-54.51894760131836,1.5509361404042465e-05,-54.5,0.018963110679763417,-54.5,0.018963110679763417
148,14.8,-54.47377347957297,-54.473758697509766,1.4782063203711004e-05,-54.46875,0.005023479572969336,-54.46875,0.005023479572969336
149,14.9,-54.42903574477724,-54.429019927978516,1.5816798722312342e-05,-54.4375,0.008464255222762063,-54.4375,0.008464255222762063
150,15.0,-54.38474538732947,-54.38473129272461,1.4094604857461945e-05,-54.40625,0.021504612670533163,-54.40625,0.021504612670533163
151,15.100000000000001,-54.34089793345617,-54.340885162353516,1.277110265363035e-05,-54.375,0.034102066543830745,-54.375,0.034102066543830745
152,15.200000000000001,-54.297488954121604,-54.29747772216797,1.1231953635615355e-05,-54.34375,0.046261045878395635,-54.34375,0.046261045878395635
153,15.3,-54.25451406458039,-54.25450134277344,1.2721806953663872e-05,-54.3125,0.057985935419608836,-54.3125,0.057985935419608836
154,15.4,-54.211968923934585,-54.21195602416992,1.2899764662677171e-05,-54.28125,0.06928107606541545,-54.28125,0.06928107606541545
155,15.5,-54.16984923469524,-54.169837951660156,1.12830350857962e-05,-54.25,0.08015076530475795,-54.25,0.08015076530475795
156,15.600000000000001,-54.12815074234829,-54.12813949584961,1.1246498679895467e-05,-54.21875,0.09059925765171073,-54.21875,0.09059925765171073
157,15.700000000000001,-54.086869234924805,-54.086856842041016,1.2392883789402731e-05,-54.1875,0.10063076507519497,-54.1875,0.10063076507519497
158,15.8,-54.046000542575555,-54.045989990234375,1.055234118041426e-05,-54.15625,0.11024945742444459,-54.15625,0.11024945742444459
159,15.9,-54.0055405371498,-54.005531311035156,9.226114642046923e-06,-54.125,0.1194594628502017,-54.125,0.1194594628502017
160,16.0,-53.9654851317783,-53.965476989746094,8.142032207558714e-06,-54.09375,0.1282648682216987,-54.09375,0.1282648682216987
161,16.1,-53.92583028046052,-53.92582321166992,7.06879059464427e-06,-54.0625,0.13666971953948348,-54.0625,0.13666971953948348
162,16.2,-53.88657197765591,-53.886566162109375,5.815546536780403e-06,-54.03125,0.14467802234408822,-54.03125,0.14467802234408822
163,16.3,-53.84770625787935,-53.84770202636719,4.231512164665219e-06,-54.0,0.15229374212064783,-54.0,0.15229374212064783
164,16.400000000000002,-53.80922919530056,-53.80922317504883,6.0202517317975435e-06,-53.96875,0.15952080469944008,-53.96875,0.15952080469944008
165,16.5,-53.77113690334755,-53.7711296081543,7.295193256595667e-06,-53.9375,0.16636309665244653,-53.9375,0.16636309665244653
166,16.6,-53.73342553431408,-53.73341751098633,8.023327751516263e-06,-53.90625,0.17282446568592036,-53.90625,0.17282446568592036
167,16.7,-53.69609127897094,-53.696083068847656,8.210123283447501e-06,-53.875,0.1789087210290603,-53.875,0.1789087210290603
168,16.8,-53.65913036618123,-53.659122467041016,7.899140214817635e-06,-53.84375,0.18461963381876956,-53.84375,0.18461963381876956
169,16.900000000000002,-53.622539062519415,-53.62253189086914,7.171650274528929e-06,-53.8125,0.18996093748058485,-53.8125,0.18996093748058485
170,17.0,-53.586313671894224,-53.586307525634766,6.1462594587169406e-06,-53.78125,0.19493632810577566,-53.78125,0.19493632810577566
171,17.1,-53.55045053517528,-53.550445556640625,4.97853465475373e-06,-53.75,0.19954946482472025,-53.75,0.19954946482472025
172,17.2,-53.51494602982353,-53.51494216918945,3.8606340737601386e-06,-53.71875,0.20380397017647311,-53.71875,0.20380397017647311
173,17.3,-53.47979656952529,-53.479793548583984,3.020941306886016e-06,-53.6875,0.20770343047470874,-53.6875,0.20770343047470874
174,17.400000000000002,-53.44499860383004,-53.44499588012695,2.723703083518103e-06,-53.65625,0.21125139616996336,-53.65625,0.21125139616996336
175,17.5,-53.41054861779173,-53.410545349121094,3.2686706390450126e-06,-53.625,0.2144513822082672,-53.625,0.2144513822082672
176,17.6,-53.37644313161382,-53.37643814086914,4.9907446779684506e-06,-53.59375,0.2173068683861814,-53.59375,0.2173068683861814
177,17.7,-53.34267870029768,-53.342674255371094,4.4449265885759814e-06,-53.5625,0.21982129970231767,-53.5625,0.21982129970231767
178,17.8,-53.30925191329471,-53.30924606323242,5.850062287038327e-06,-53.53125,0.2219980867052911,-53.53125,0.2219980867052911
179,17.900000000000002,-53.27615939416176,-53.276153564453125,5.829708634053077e-06,-53.5,0.22384060583824095,-53.5,0.22384060583824095
180,18.0,-53.243397800220144,-53.24339294433594,4.855884206733663e-06,-53.46875,0.22535219977985577,-53.46875,0.22535219977985577
181,18.1,-53.21096382221794,-53.210960388183594,3.4340343475491864e-06,-53.4375,0.2265361777820587,-53.4375,0.2265361777820587
182,18.2,-53.17885418399576,-53.17885208129883,2.102696932126946e-06,-53.40625,0.22739581600423975,-53.40625,0.22739581600423975
183,18.3,-53.1470656421558,-53.147064208984375,1.4331714268678297e-06,-53.375,0.22793435784419813,-53.375,0.22793435784419813
184,18.400000000000002,-53.11559498573424,-53.11559295654297,2.029191271901709e-06,-53.34375,0.22815501426575935,-53.34375,0.22815501426575935
185,18.5,-53.0844390358769,-53.08443832397461,7.119022882307036e-07,-53.3125,0.2280609641231024,-53.3125,0.2280609641231024
186,18.6,-53.05359464551813,-53.053592681884766,1.9636333661310346e-06,-53.28125,0.22765535448186824,-53.28125,0.22765535448186824
187,18.7,-53.02305869906295,-53.02305603027344,2.6687895129384742e-06,-53.25,0.22694130093704956,-53.25,0.22694130093704956
188,18.8,-52.992828112072324,-52.99282455444336,3.5576289647565318e-06,-53.21875,0.22592188792767587,-53.21875,0.22592188792767587
189,18.900000000000002,-52.9628998309516,-52.962894439697266,5.391254333630968e-06,-53.1875,0.22460016904840074,-53.1875,0.22460016904840074
190,19.0,-52.93327083264208,-52.933265686035156,5.146606923744912e-06,-53.15625,0.22297916735792,-53.15625,0.22297916735792
191,19.1,-52.90393812431566,-52.903934478759766,3.6455558927173115e-06,-53.125,0.22106187568434166,-53.125,0.22106187568434166
192,19.200000000000003,-52.8748987430725,-52.87489700317383,1.7398986713601516e-06,-53.09375,0.21885125692750051,-53.09375,0.21885125692750051
193,19.3,-52.846149755641775,-52.84614944458008,3.110616972890057e-07,-53.0625,0.21635024435822459,-53.0625,0.21635024435822459
194,19.400000000000002,-52.817688258085354,-52.81768798828125,2.6980410439136904e-07,-53.03125,0.2135617419146456,-53.03125,0.2135617419146456
195,19.5,-52.7895113755045,-52.789512634277344,1.258772840628808e-06,-53.0,0.21048862449549688,-53.0,0.21048862449549688
196,19.6,-52.76161626174946,-52.76161575317383,5.085756313860657e-07,-52.96875,0.2071337382505405,-52.96875,0.2071337382505405
197,19.700000000000003,-52.73400009913197,-52.73400115966797,1.0605360003523856e-06,-52.9375,0.2034999008680316,-52.9375,0.2034999008680316
198,19.8,-52.706660098140645,-52.706661224365234,1.1262245891430211e-06,-52.90625,0.19958990185935477,-52.90625,0.19958990185935477
199,19.900000000000002,-52.67959349715924,-52.679595947265625,2.450106386220341e-06,-52.875,0.19540650284076122,-52.875,0.19540650284076122
200,20.0,-52.652797562187644,-52.652801513671875,3.951484231379254e-06,-52.84375,0.19095243781235638,-52.84375,0.19095243781235638
201,20.1,-52.62626958656577,-52.62627410888672,4.5223209497180505e-06,-52.8125,0.18623041343423097,-52.8125,0.18623041343423097
202,20.200000000000003,-52.60000689070011,-52.60000991821289,3.027512782693975e-06,-52.78125,0.18124310929989207,-52.78125,0.18124310929989207
203,20.3,-52.574006821793105,-52.57400894165039,2.119857285265425e-06,-52.75,0.17599317820689464,-52.75,0.17599317820689464
204,20.400000000000002,-52.54826675357518,-52.54826736450195,6.109267758347414e-07,-52.71875,0.1704832464248227,-52.71875,0.1704832464248227
205,20.5,-52.52278408603942,-52.52278518676758,1.100728155734032e-06,-52.6875,0.1647159139605776,-52.6875,0.1647159139605776
206,20.6,-52.49755624517903,-52.49755859375,2.348570973254027e-06,-52.65625,0.15869375482097325,-52.65625,0.15869375482097325
207,20.700000000000003,-52.472580682727234,-52.47258377075195,3.088024719488658e-06,-52.625,0.15241931727276636,-52.625,0.15241931727276636
208,20.8,-52.447854875899964,-52.44785690307617,2.0271762082302303e-06,-52.59375,0.14589512410003636,-52.59375,0.14589512410003636
