pair,fmt,I,pearson,spike_rmse,spec_entropy
16bits,float16,-1.418546365914787,1.0,0.0,2.409232089520252
16bits,posit16,-1.418546365914787,0.9999999999999996,0.0,2.4092320895202475
16bits,float16,-1.4085213032581454,1.0,0.0,2.409232089520246
16bits,posit16,-1.4085213032581454,1.0,0.0,2.409232089520248
16bits,float16,-1.3984962406015038,1.0,0.0,2.4092320895202475
16bits,posit16,-1.3984962406015038,1.0,0.0,2.4092320895202475
16bits,float16,-1.3884711779448622,1.0,0.0,2.4092320895202457
16bits,posit16,-1.3884711779448622,1.0,0.0,2.4092320895202457
16bits,float16,-1.3784461152882206,0.9999999999999997,0.0,2.4092320895202475
16bits,posit16,-1.3784461152882206,1.0,0.0,2.4092320895202506
16bits,float16,-1.368421052631579,0.9999999999999996,0.0,2.4092320895202475
16bits,posit16,-1.368421052631579,0.9999999999999996,0.0,2.4092320895202484
16bits,float16,-1.3583959899749374,0.9999999999999992,0.0,2.4092320895202493
16bits,posit16,-1.3583959899749374,0.9999999999999992,0.0,2.4092320895202493
16bits,float16,-1.3483709273182958,1.0,0.0,2.4092320895202475
16bits,posit16,-1.3483709273182958,1.0,0.0,2.4092320895202515
16bits,float16,-1.3383458646616542,0.9999999999999997,0.0,2.4092320895202475
16bits,posit16,-1.3383458646616542,0.9999999999999992,0.0,2.409232089520251
16bits,float16,-1.3283208020050126,0.9999999999999994,0.0,2.4092320895202457
16bits,posit16,-1.3283208020050126,0.9999999999999994,0.0,2.4092320895202457
16bits,float16,-1.318295739348371,1.0,0.0,2.4092320895202484
16bits,posit16,-1.318295739348371,1.0,0.0,2.4092320895202484
16bits,float16,-1.3082706766917294,1.0,0.0,2.4092320895202475
16bits,posit16,-1.3082706766917294,1.0,0.0,2.4092320895202493
16bits,float16,-1.2982456140350878,1.0,0.0,2.4092320895202475
16bits,posit16,-1.2982456140350878,0.9999999999999997,0.0,2.4092320895202493
16bits,float16,-1.2882205513784462,1.0,0.0,2.4092320895202493
16bits,posit16,-1.2882205513784462,1.0,0.0,2.4092320895202493
16bits,float16,-1.2781954887218046,1.0,0.0,2.4092320895202475
16bits,posit16,-1.2781954887218046,1.0,0.0,2.4092320895202475
16bits,float16,-1.268170426065163,1.0,0.0,2.409232089520251
16bits,posit16,-1.268170426065163,0.9999999999999991,0.0,2.409232089520246
16bits,float16,-1.2581453634085213,0.9999999999999998,0.0,2.4092320895202457
16bits,posit16,-1.2581453634085213,1.0,0.0,2.4092320895202493
16bits,float16,-1.2481203007518797,0.9999999999999993,0.0,2.4092320895202475
16bits,posit16,-1.2481203007518797,0.9999999999999993,0.0,2.4092320895202475
16bits,float16,-1.2380952380952381,1.0,0.0,2.4092320895202515
16bits,posit16,-1.2380952380952381,1.0,0.0,2.4092320895202515
16bits,float16,-1.2280701754385965,0.9999999999999989,0.0,2.409232089520249
16bits,posit16,-1.2280701754385965,1.0,0.0,2.409232089520248
16bits,float16,-1.218045112781955,1.0,0.0,2.409232089520246
16bits,posit16,-1.218045112781955,1.0,0.0,2.4092320895202453
16bits,float16,-1.2080200501253133,1.0,0.0,2.4092320895202493
16bits,posit16,-1.2080200501253133,1.0,0.0,2.4092320895202493
16bits,float16,-1.1979949874686717,0.9999999999999997,0.0,2.4092320895202493
16bits,posit16,-1.1979949874686717,0.9999999999999998,0.0,2.4092320895202524
16bits,float16,-1.1879699248120301,1.0,0.0,2.4092320895202493
16bits,posit16,-1.1879699248120301,1.0,0.0,2.4092320895202475
16bits,float16,-1.1779448621553885,1.0,0.0,2.409232089520246
16bits,posit16,-1.1779448621553885,1.0,0.0,2.409232089520246
16bits,float16,-1.167919799498747,0.9999999999999997,0.0,2.4092320895202475
16bits,posit16,-1.167919799498747,0.9999999999999997,0.0,2.4092320895202475
16bits,float16,-1.1578947368421053,1.0,0.0,2.4092320895202506
16bits,posit16,-1.1578947368421053,1.0,0.0,2.4092320895202515
16bits,float16,-1.1478696741854637,1.0,0.0,2.4092320895202475
16bits,posit16,-1.1478696741854637,1.0,0.0,2.4092320895202493
16bits,float16,-1.137844611528822,1.0,0.0,2.4092320895202475
16bits,posit16,-1.137844611528822,1.0,0.0,2.4092320895202475
16bits,float16,-1.1278195488721805,1.0,0.0,2.409232089520246
16bits,posit16,-1.1278195488721805,1.0,0.0,2.409232089520246
16bits,float16,-1.117794486215539,1.0,0.0,2.409232089520251
16bits,posit16,-1.117794486215539,0.9999999999999998,0.0,2.409232089520251
16bits,float16,-1.1077694235588973,1.0,0.0,2.4092320895202493
16bits,posit16,-1.1077694235588973,1.0,0.0,2.409232089520246
16bits,float16,-1.0977443609022557,1.0,0.0,2.409232089520248
16bits,posit16,-1.0977443609022557,1.0,0.0,2.409232089520248
16bits,float16,-1.087719298245614,1.0,0.0,2.4092320895202493
16bits,posit16,-1.087719298245614,1.0,0.0,2.4092320895202493
16bits,float16,-1.0776942355889725,0.9999999999999998,0.0,2.4092320895202475
16bits,posit16,-1.0776942355889725,0.9999999999999992,0.0,2.4092320895202457
16bits,float16,-1.0676691729323309,0.9999999999999996,0.0,2.4092320895202475
16bits,posit16,-1.0676691729323309,0.9999999999999996,0.0,2.4092320895202457
16bits,float16,-1.0576441102756893,0.9999999999999998,0.0,2.4092320895202453
16bits,posit16,-1.0576441102756893,0.9999999999999998,0.0,2.4092320895202453
16bits,float16,-1.0476190476190477,0.9999999999999998,0.0,2.4092320895202493
16bits,posit16,-1.0476190476190477,0.9999999999999998,0.0,2.4092320895202493
16bits,float16,-1.037593984962406,1.0,0.0,2.4092320895202475
16bits,posit16,-1.037593984962406,1.0,0.0,2.4092320895202475
16bits,float16,-1.0275689223057645,0.9999999999999998,0.0,2.4092320895202475
16bits,posit16,-1.0275689223057645,0.9999999999999998,0.0,2.4092320895202475
16bits,float16,-1.0175438596491229,1.0,0.0,2.409232089520246
16bits,posit16,-1.0175438596491229,1.0,0.0,2.409232089520246
16bits,float16,-1.0075187969924813,1.0,0.0,2.4092320895202493
16bits,posit16,-1.0075187969924813,1.0,0.0,2.4092320895202493
16bits,float16,-0.9974937343358397,0.9999999999999998,0.0,2.4092320895202475
16bits,posit16,-0.9974937343358397,0.9999999999999998,0.0,2.4092320895202475
16bits,float16,-0.987468671679198,1.0,0.0,2.4092320895202475
16bits,posit16,-0.987468671679198,0.9999999999999998,0.0,2.409232089520249
16bits,float16,-0.9774436090225564,1.0,0.0,2.409232089520246
16bits,posit16,-0.9774436090225564,1.0,0.0,2.409232089520246
16bits,float16,-0.9674185463659148,1.0,0.0,2.409232089520249
16bits,posit16,-0.9674185463659148,0.9999999999999998,0.0,2.409232089520248
16bits,float16,-0.9573934837092732,0.9999999999999998,0.0,2.4092320895202457
16bits,posit16,-0.9573934837092732,1.0,0.0,2.4092320895202506
16bits,float16,-0.9473684210526316,0.9999999999999999,0.0,2.4092320895202475
16bits,posit16,-0.9473684210526316,0.9999999999999999,0.0,2.4092320895202475
16bits,float16,-0.93734335839599,0.9999999999999998,0.0,2.409232089520249
16bits,posit16,-0.93734335839599,1.0,0.0,2.4092320895202484
16bits,float16,-0.9273182957393484,0.9999999999999999,0.0,2.4092320895202493
16bits,posit16,-0.9273182957393484,0.9999999999999999,0.0,2.4092320895202493
16bits,float16,-0.9172932330827068,1.0,0.0,2.4092320895202457
16bits,posit16,-0.9172932330827068,1.0,0.0,2.4092320895202493
16bits,float16,-0.9072681704260652,0.9999999999999998,0.0,2.4092320895202475
16bits,posit16,-0.9072681704260652,0.9999999999999998,0.0,2.4092320895202475
16bits,float16,-0.8972431077694236,1.0,0.0,2.4092320895202457
16bits,posit16,-0.8972431077694236,0.9999999999999999,0.0,2.4092320895202484
16bits,float16,-0.887218045112782,0.9999999999999994,0.0,2.409232089520251
16bits,posit16,-0.887218045112782,0.9999999999999994,0.0,2.409232089520251
16bits,float16,-0.8771929824561404,0.9999999999999992,0.0,2.409232089520252
16bits,posit16,-0.8771929824561404,1.0,0.0,2.4092320895202475
16bits,float16,-0.8671679197994988,0.9999999999999989,0.0,2.409232089520253
16bits,posit16,-0.8671679197994988,0.9999999999999989,0.0,2.409232089520253
16bits,float16,-0.8571428571428572,1.0,0.0,2.4092320895202475
16bits,posit16,-0.8571428571428572,0.9999999999999999,0.0,2.4092320895202493
16bits,float16,-0.8471177944862156,1.0,0.0,2.409232089520246
16bits,posit16,-0.8471177944862156,1.0,0.0,2.409232089520246
16bits,float16,-0.837092731829574,0.9999999999999991,0.0,2.409232089520251
16bits,posit16,-0.837092731829574,0.9999999999999999,0.0,2.4092320895202475
16bits,float16,-0.8270676691729324,0.9999999999999999,0.0,2.4092320895202493
16bits,posit16,-0.8270676691729324,0.9999999999999999,0.0,2.4092320895202493
16bits,float16,-0.8170426065162908,1.0,0.0,2.409232089520246
16bits,posit16,-0.8170426065162908,1.0,0.0,2.409232089520246
16bits,float16,-0.8070175438596492,1.0,0.0,2.4092320895202475
16bits,posit16,-0.8070175438596492,1.0,0.0,2.4092320895202475
16bits,float16,-0.7969924812030076,1.0,0.0,2.4092320895202475
16bits,posit16,-0.7969924812030076,1.0,0.0,2.4092320895202475
16bits,float16,-0.786967418546366,1.0,0.0,2.409232089520251
16bits,posit16,-0.786967418546366,1.0,0.0,2.409232089520246
16bits,float16,-0.7769423558897244,1.0,0.0,2.409232089520246
16bits,posit16,-0.7769423558897244,1.0,0.0,2.409232089520246
16bits,float16,-0.7669172932330828,0.9999999999999999,0.0,2.409232089520252
16bits,posit16,-0.7669172932330828,1.0,0.0,2.409232089520253
16bits,float16,-0.7568922305764412,0.9999999999999996,0.0,2.409232089520248
16bits,posit16,-0.7568922305764412,0.9999999999999996,0.0,2.409232089520248
16bits,float16,-0.7468671679197996,0.9999999999999994,0.0,2.4092320895202453
16bits,posit16,-0.7468671679197996,1.0,0.0,2.409232089520248
16bits,float16,-0.736842105263158,1.0,0.0,2.4092320895202475
16bits,posit16,-0.736842105263158,1.0,0.0,2.4092320895202475
16bits,float16,-0.7268170426065164,0.9999999999999999,0.0,2.4092320895202493
16bits,posit16,-0.7268170426065164,0.9999999999999996,0.0,2.4092320895202493
16bits,float16,-0.7167919799498748,1.0,0.0,2.4092320895202484
16bits,posit16,-0.7167919799498748,1.0,0.0,2.4092320895202484
16bits,float16,-0.7067669172932332,1.0,0.0,2.4092320895202475
16bits,posit16,-0.7067669172932332,1.0,0.0,2.4092320895202493
16bits,float16,-0.6967418546365916,0.9999999999999997,0.0,2.409232089520246
16bits,posit16,-0.6967418546365916,0.9999999999999997,0.0,2.409232089520246
16bits,float16,-0.68671679197995,0.9999999999999997,0.0,2.4092320895202457
16bits,posit16,-0.68671679197995,1.0,0.0,2.409232089520251
16bits,float16,-0.6766917293233083,1.0,0.0,2.4092320895202457
16bits,posit16,-0.6766917293233083,1.0,0.0,2.4092320895202457
16bits,float16,-0.6666666666666667,0.9999999999999998,0.0,2.4092320895202457
16bits,posit16,-0.6666666666666667,1.0,0.0,2.409232089520251
16bits,float16,-0.6566416040100251,1.0,0.0,2.4092320895202515
16bits,posit16,-0.6566416040100251,1.0,0.0,2.4092320895202515
16bits,float16,-0.6466165413533835,0.9999999999999997,0.0,2.409232089520246
16bits,posit16,-0.6466165413533835,1.0,0.0,2.4092320895202484
16bits,float16,-0.6365914786967419,0.9999999999999994,0.0,2.409232089520249
16bits,posit16,-0.6365914786967419,1.0,0.0,2.4092320895202475
16bits,float16,-0.6265664160401003,0.9999999999999993,0.0,2.4092320895202484
16bits,posit16,-0.6265664160401003,0.9999999999999993,0.0,2.4092320895202484
16bits,float16,-0.6165413533834587,1.0,0.0,2.4092320895202493
16bits,posit16,-0.6165413533834587,0.9999999999999997,0.0,2.409232089520249
16bits,float16,-0.6065162907268171,1.0,0.0,2.4092320895202457
16bits,posit16,-0.6065162907268171,1.0,0.0,2.4092320895202457
16bits,float16,-0.5964912280701755,1.0,0.0,2.409232089520252
16bits,posit16,-0.5964912280701755,0.9999999999999994,0.0,2.4092320895202457
16bits,float16,-0.5864661654135339,1.0,0.0,2.4092320895202524
16bits,posit16,-0.5864661654135339,1.0,0.0,2.4092320895202524
16bits,float16,-0.5764411027568923,1.0,0.0,2.4092320895202475
16bits,posit16,-0.5764411027568923,0.9999999999999992,0.0,2.4092320895202493
16bits,float16,-0.5664160401002507,1.0,0.0,2.409232089520251
16bits,posit16,-0.5664160401002507,1.0,0.0,2.409232089520251
16bits,float16,-0.5563909774436091,1.0,0.0,2.4092320895202546
16bits,posit16,-0.5563909774436091,0.9999999999999992,0.0,2.4092320895202484
16bits,float16,-0.5463659147869675,0.9999999999999996,0.0,2.4092320895202484
16bits,posit16,-0.5463659147869675,0.9999999999999996,0.0,2.4092320895202484
16bits,float16,-0.5363408521303259,1.0,0.0,2.4092320895202524
16bits,posit16,-0.5363408521303259,1.0,0.0,2.409232089520248
16bits,float16,-0.5263157894736843,1.0,0.0,2.4092320895202506
16bits,posit16,-0.5263157894736843,1.0,0.0,2.4092320895202506
16bits,float16,-0.5162907268170427,0.9999999999999996,0.0,2.409232089520252
16bits,posit16,-0.5162907268170427,0.9999999999999991,0.0,2.409232089520253
16bits,float16,-0.5062656641604011,0.9999999999999996,0.0,2.4092320895202493
16bits,posit16,-0.5062656641604011,0.9999999999999996,0.0,2.4092320895202493
16bits,float16,-0.4962406015037595,0.9999999999999998,0.0,2.409232089520251
16bits,posit16,-0.4962406015037595,1.0,0.0,2.409232089520248
16bits,float16,-0.4862155388471179,0.999999999999999,0.0,2.4092320895202475
16bits,posit16,-0.4862155388471179,0.9999999999999992,0.0,2.4092320895202475
16bits,float16,-0.4761904761904763,0.9999999999999994,0.0,2.4092320895202475
16bits,posit16,-0.4761904761904763,1.0,0.0,2.409232089520251
16bits,float16,-0.46616541353383467,1.0,0.0,2.4092320895202444
16bits,posit16,-0.46616541353383467,0.9999999999999998,0.0,2.4092320895202493
16bits,float16,-0.45614035087719307,1.0,0.0,2.409232089520246
16bits,posit16,-0.45614035087719307,1.0,0.0,2.4092320895202493
16bits,float16,-0.44611528822055146,1.0,0.0,2.409232089520248
16bits,posit16,-0.44611528822055146,0.9999999999999987,0.0,2.409232089520248
16bits,float16,-0.43609022556390986,1.0,0.0,2.409232089520248
16bits,posit16,-0.43609022556390986,1.0,0.0,2.409232089520248
16bits,float16,-0.42606516290726826,1.0,0.0,2.409232089520246
16bits,posit16,-0.42606516290726826,1.0,0.0,2.409232089520246
16bits,float16,-0.41604010025062665,1.0,0.0,2.409232089520248
16bits,posit16,-0.41604010025062665,1.0,0.0,2.409232089520248
16bits,float16,-0.40601503759398505,0.9999999999999996,0.0,2.4092320895202533
16bits,posit16,-0.40601503759398505,0.9999999999999996,0.0,2.4092320895202533
16bits,float16,-0.39598997493734345,1.0,0.0,2.409232089520248
16bits,posit16,-0.39598997493734345,1.0,0.0,2.409232089520248
16bits,float16,-0.38596491228070184,1.0,0.0,2.4092320895202493
16bits,posit16,-0.38596491228070184,1.0,0.0,2.4092320895202493
16bits,float16,-0.37593984962406024,1.0,0.0,2.4092320895202515
16bits,posit16,-0.37593984962406024,1.0,0.0,2.4092320895202515
16bits,float16,-0.36591478696741864,1.0,0.0,2.409232089520251
16bits,posit16,-0.36591478696741864,1.0,0.0,2.409232089520251
16bits,float16,-0.35588972431077703,1.0,0.0,2.409232089520249
16bits,posit16,-0.35588972431077703,1.0,0.0,2.4092320895202475
16bits,float16,-0.34586466165413543,1.0,0.0,2.409232089520252
16bits,posit16,-0.34586466165413543,1.0,0.0,2.409232089520249
16bits,float16,-0.3358395989974938,0.999999999999999,0.0,2.4092320895202493
16bits,posit16,-0.3358395989974938,1.0,0.0,2.4092320895202475
16bits,float16,-0.3258145363408522,1.0,0.0,2.4092320895202493
16bits,posit16,-0.3258145363408522,1.0,0.0,2.4092320895202475
16bits,float16,-0.3157894736842106,1.0,0.0,2.4092320895202506
16bits,posit16,-0.3157894736842106,1.0,0.0,2.4092320895202484
16bits,float16,-0.305764411027569,1.0,0.0,2.409232089520245
16bits,posit16,-0.305764411027569,1.0,0.0,2.4092320895202493
16bits,float16,-0.2957393483709274,0.9999999999999998,0.0,2.409232089520252
16bits,posit16,-0.2957393483709274,0.9999999999999984,0.0,2.4092320895202493
16bits,float16,-0.2857142857142858,1.0,0.0,2.409232089520251
16bits,posit16,-0.2857142857142858,1.0,0.0,2.4092320895202493
16bits,float16,-0.2756892230576442,0.9999999999999994,0.0,2.4092320895202506
16bits,posit16,-0.2756892230576442,0.9999999999999994,0.0,2.4092320895202506
16bits,float16,-0.2656641604010026,1.0,0.0,2.409232089520252
16bits,posit16,-0.2656641604010026,1.0,0.0,2.409232089520252
16bits,float16,-0.255639097744361,1.0,0.0,2.4092320895202457
16bits,posit16,-0.255639097744361,1.0,0.0,2.4092320895202457
16bits,float16,-0.2456140350877194,1.0,0.0,2.409232089520251
16bits,posit16,-0.2456140350877194,1.0,0.0,2.409232089520251
16bits,float16,-0.2355889724310778,1.0,0.0,2.409232089520246
16bits,posit16,-0.2355889724310778,1.0,0.0,2.409232089520246
16bits,float16,-0.2255639097744362,0.9999999999999992,0.0,2.409232089520248
16bits,posit16,-0.2255639097744362,0.9999999999999992,0.0,2.409232089520248
16bits,float16,-0.21553884711779459,0.9999999999999992,0.0,2.4092320895202493
16bits,posit16,-0.21553884711779459,1.0,0.0,2.4092320895202475
16bits,float16,-0.20551378446115298,0.9999999999999993,0.0,2.4092320895202484
16bits,posit16,-0.20551378446115298,0.9999999999999994,0.0,2.409232089520249
16bits,float16,-0.19548872180451138,1.0,0.0,2.409232089520249
16bits,posit16,-0.19548872180451138,0.9999999999999999,0.0,2.409232089520249
16bits,float16,-0.18546365914786977,0.9999999999999996,0.0,2.409232089520246
16bits,posit16,-0.18546365914786977,0.9999999999999996,0.0,2.4092320895202506
16bits,float16,-0.17543859649122817,1.0,0.0,2.409232089520248
16bits,posit16,-0.17543859649122817,1.0,0.0,2.409232089520248
16bits,float16,-0.16541353383458657,0.9999999999999998,0.0,2.409232089520246
16bits,posit16,-0.16541353383458657,0.9999999999999998,0.0,2.409232089520246
16bits,float16,-0.15538847117794496,0.9999999999999993,0.0,2.4092320895202475
16bits,posit16,-0.15538847117794496,0.9999999999999993,0.0,2.4092320895202475
16bits,float16,-0.14536340852130336,1.0,0.0,2.4092320895202506
16bits,posit16,-0.14536340852130336,1.0,0.0,2.4092320895202506
16bits,float16,-0.13533834586466176,0.9999999999999996,0.0,2.4092320895202457
16bits,posit16,-0.13533834586466176,1.0,0.0,2.4092320895202493
16bits,float16,-0.12531328320802015,1.0,0.0,2.4092320895202506
16bits,posit16,-0.12531328320802015,1.0,0.0,2.409232089520246
16bits,float16,-0.11528822055137855,0.9999999999999996,0.0,2.409232089520248
16bits,posit16,-0.11528822055137855,0.9999999999999996,0.0,2.409232089520248
16bits,float16,-0.10526315789473695,1.0,0.0,2.409232089520248
16bits,posit16,-0.10526315789473695,0.9999999999999998,0.0,2.4092320895202457
16bits,float16,-0.09523809523809534,1.0,0.0,2.409232089520252
16bits,posit16,-0.09523809523809534,1.0,0.0,2.409232089520249
16bits,float16,-0.08521303258145374,1.0,0.0,2.4092320895202484
16bits,posit16,-0.08521303258145374,1.0,0.0,2.4092320895202484
16bits,float16,-0.07518796992481214,0.9999999999999998,0.0,2.4092320895202475
16bits,posit16,-0.07518796992481214,0.9999999999999998,0.0,2.4092320895202475
