neuron,label,total_spikes,mean_voltage,voltage_entropy
60,posit16,139,-57.526888158394634,2.5378358561102723
61,posit16,138,-57.581183755882506,2.5350679855935305
62,posit16,133,-57.54532239571906,2.5552980669964533
63,posit16,151,-57.57371465050802,2.5186688216155955
64,posit16,137,-57.61157318789588,2.5446926633217926
65,posit16,143,-57.66664629547661,2.5158588407591314
66,posit16,144,-57.54344098601672,2.540108643324303
67,posit16,133,-57.6083824137847,2.5378819772989027
68,posit16,137,-57.589557497158296,2.585878193608418
69,posit16,137,-57.560539651358745,2.5488096307865398
70,posit16,126,-57.51194581737065,2.555902925118692
71,posit16,122,-57.65689949179559,2.5550012691964312
72,posit16,153,-57.66297830234142,2.5270469118845074
73,posit16,141,-57.64073468121563,2.5445236354220238
74,posit16,126,-57.558422406510324,2.552480345462933
75,posit16,142,-57.66658305506861,2.5392936382308955
76,posit16,138,-57.534115815241734,2.5461865624479927
77,posit16,133,-57.674767758844276,2.552380082503303
78,posit16,151,-57.636537151104434,2.51696188820817
79,posit16,145,-57.51940306848809,2.533121336481918
80,posit16,141,-57.66815337978488,2.5417451164086726
81,posit16,142,-57.62217137661652,2.5436422134727255
82,posit16,134,-57.70200369536599,2.549481847493287
83,posit16,143,-57.62327555658562,2.588765167651666
84,posit16,128,-57.53924328293766,2.5549278180110715
85,posit16,125,-57.65891224475784,2.552063034835945
86,posit16,142,-57.576647246046946,2.5417931210279567
87,posit16,127,-57.59154262962342,2.5533916333400897
88,posit16,134,-57.56092919296308,2.5396292089754406
89,posit16,153,-57.56786338044039,2.531301500842628
90,posit16,142,-57.664957944107606,2.5818604438457533
91,posit16,143,-57.65568409865968,2.54397617851208
92,posit16,136,-57.50420078168692,2.541522241129895
93,posit16,140,-57.64138072579941,2.5512663908005155
94,posit16,143,-57.60237576329838,2.5445920221215603
95,posit16,149,-57.503789537829526,2.5180107449798994
96,posit16,145,-57.58710240717407,2.5407097592196854
97,posit16,149,-57.629574110683095,2.5263840999888774
98,posit16,132,-57.597624269247035,2.535623834148528
99,posit16,133,-57.60956538208442,2.542067964659314
