I,rmse_f32,rmse_f16,rmse_posit,rmse_bf16,psnr_f32,psnr_f16,psnr_posit,psnr_bf16,ssim_f32,ssim_f16,ssim_posit,ssim_bf16,relerr_f16,relerr_bf16,relerr_posit,corr_f16,corr_bf16,corr_posit,specent_f16,specent_bf16,specent_posit
0.7579158316633268,1.6164386578015845e-07,0.0007328831275131095,0.0007328831275131095,0.0007328831275131095,160.77804713412058,87.64853722967166,87.64853722967166,87.64853722967166,0.9999999999999984,0.9999999903001157,0.9999999903001157,0.9999999903001157,9.889788213930138e-06,9.889788213930138e-06,9.889788213930138e-06,0.9999999998163304,0.9999999998163304,0.9999999998163304,0.03109886891680549,0.03109886891680549,0.03109886891680549
0.7595190380761523,1.7790992140056955e-08,0.00171422473953919,1.7350452829811824e-05,0.012103675893753123,179.9531014343686,80.2757496203604,120.17088851187877,63.29875907362077,0.9999999999999993,0.999999947131471,0.9999999999945857,0.9999973595785384,2.3139477945680178e-05,0.00016338157707398892,2.3420524237141447e-07,0.9999999990030365,0.9999999501100454,0.9999999999998982,0.031201989644267018,0.03109886891680549,0.031219191866865885
0.761122244488978,1.2606188154031766e-07,0.0007675840331676939,0.0007675840331676939,0.023474468659998155,162.95329505433608,87.26245210822428,87.26245210822428,57.55305533501982,0.9999999999999998,0.9999999894458567,0.9999999894458567,0.9999900877637791,1.036442710911557e-05,0.00031696779614828204,1.036442710911557e-05,0.9999999998019224,0.9999998131105414,0.9999999998019224,0.03133973086502597,0.03109886891680549,0.03133973086502597
0.7627254509018035,1.5283308952389529e-07,0.00021375757885837675,0.00021375757885837675,0.007140058348334355,161.2884817481898,98.37439916255306,98.37439916255306,67.8987943809906,0.9999999999999991,0.9999999991845714,0.9999999991845714,0.9999990891177035,2.887184276029571e-06,9.643945399896787e-05,2.887184276029571e-06,0.9999999999847584,0.9999999829524463,0.9999999999847584,0.03144322188832828,0.031374210247307924,0.03144322188832828
0.7643286573146293,8.98021584352071e-09,0.0011950991908845176,0.0005364760014894634,0.0185108511145744,185.91494583341552,83.43260229115431,90.38967535503595,59.63215358382154,0.9999999999999989,0.9999999746063009,0.9999999948844741,0.999993889770628,1.614695327539491e-05,0.0002500996154249001,7.248312939623348e-06,0.9999999995273076,0.9999998858875057,0.9999999999048077,0.031546871506654264,0.031374210247307924,0.031564161857665154
0.7659318637274548,1.348726627655989e-07,0.0012867095818273858,0.0004448656105465954,0.002176440802915608,162.39004735247832,82.7989152869259,92.02394929269771,78.23358880285853,0.9999999999999989,0.9999999706909973,0.9999999964954982,0.9999999160944947,1.7390051444530582e-05,2.9414887448747555e-05,6.0124180021422915e-06,0.9999999994570059,0.9999999984445078,0.9999999999350524,0.03168531759442022,0.03165067965825728,0.03166799642548613
0.7675350701402806,1.4402231326763214e-07,0.00030536796980125473,0.00030536796980125473,0.013547233569155652,161.82776791482124,95.29989392438,95.29989392438,62.359351187624355,1.000000000000001,0.9999999983553698,0.9999999983553698,0.9999967554945737,4.128359894706531e-06,0.00018314905714413368,4.128359894706531e-06,0.9999999999696549,0.9999999399788495,0.9999999999696549,0.03178933702788086,0.03165067965825728,0.03178933702788086
0.7691382765531063,1.6943962743066767e-10,0.0006759736422298051,0.0006759736422298051,0.02491802633540064,220.42389430818633,88.40559882207987,88.40559882207987,57.07392125482927,1.0000000000000036,0.9999999919708809,0.9999999919708809,0.9999890446814323,9.141503065244034e-06,0.00033697795282890776,9.141503065244034e-06,0.9999999998524558,0.9999997977619433,0.9999999998524558,0.03189351485100134,0.03165067965825728,0.03189351485100134
0.7707414829659318,1.4368343900172547e-07,0.001657315254255896,7.425993810808711e-05,0.008583616023736824,161.8638832350426,80.62391496289524,107.59692585849778,66.33861188053713,0.9999999999999987,0.9999999519152272,0.9999999999034894,0.9999987086377317,2.241954501481807e-05,0.00011611596848572166,1.004560852823003e-06,0.9999999991199715,0.9999999763352734,0.9999999999982344,0.03199785100242512,0.03192827597913562,0.03201525574972366
0.7723446893787576,1.3521153207250563e-07,0.0008244935184460094,0.0008244935184460094,0.019954408789981823,162.3995592535533,86.69608901125389,86.69608901125389,59.019056628808585,0.9999999999999977,0.9999999881502375,0.9999999881502375,0.9999930346938604,1.1156880318019228e-05,0.00027001904284981124,1.1156880318019228e-05,0.9999999997841481,0.9999998726267624,0.9999999997841481,0.03213721205362964,0.03192827597913562,0.03213721205362964
0.7739478957915831,8.641341587732439e-09,0.00015684809358010145,0.00015684809358010145,0.003619998478318066,186.29601985538966,101.11805842544341,101.11805842544341,73.853475554062,0.9999999999999971,0.9999999995727449,0.9999999995727449,0.9999997722794964,2.1230913252375595e-06,4.900019624889388e-05,2.1230913252375595e-06,0.9999999999922485,0.9999999958660005,0.9999999999922485,0.03224191739979834,0.03220699804533231,0.03224191739979834
0.7755511022044088,1.52494210258916e-07,0.0011381897056062021,0.0005933854867628401,0.014990791244558077,161.37037857987036,83.9111526170003,89.56870728341084,61.518954554942255,0.9999999999999973,0.9999999775838952,0.9999999939091526,0.9999961024304662,1.541125580893963e-05,0.00020297751553222197,8.034526656471068e-06,0.9999999995949652,0.9999999293927573,0.9999999998899805,0.0323467808705752,0.03220699804533231,0.03236427348465544
0.7771543086172346,1.2640076079527873e-07,0.001343619067105691,0.0003879561252682799,0.026361584010803116,163.0082472912702,82.47771788549295,93.26758878712747,56.62381099945523,1.0000000000000013,0.999999968894802,0.9999999974059869,0.9999879705134824,1.819841314896667e-05,0.00035704985798035816,5.254603796679679e-06,0.9999999994405865,0.999999782533124,0.9999999999533323,0.03248684469804577,0.03220699804533231,0.03246932135722698
0.7787575150300601,1.7452117843995594e-08,0.0003622774550746012,0.0003622774550746012,0.01002717369913432,180.21406668983644,93.87020326206647,93.87020326206647,65.02745866267286,0.9999999999999982,0.9999999977469538,0.9999999977469538,0.99999827097413,4.90831806938991e-06,0.00013585321736964956,4.90831806938991e-06,0.9999999999596427,0.9999999689693115,0.9999999999596427,0.03259207688974751,0.03248684469804577,0.03259207688974751
